policy_id,customer_id,agent_id,product_id,product_type,start_date,end_date,premium_amount,term_months,status
POL-0033,CUST-0178,AGT-0015,PROD-002,Health,2025-08-07,2026-08-02,24381.52,12,active
POL-0034,CUST-0288,AGT-0009,PROD-003,Property,2025-01-26,2027-01-16,28134.42,24,active
POL-0035,CUST-0120,AGT-0002,PROD-002,Health,2026-02-09,2028-01-30,22122.9,24,active
POL-0036,CUST-0071,AGT-0001,PROD-001,Motor,2025-04-03,2028-03-18,34542.25,36,active
POL-0037,CUST-0148,AGT-0011,PROD-002,Health,2025-04-10,2030-03-15,33872.43,60,active
POL-0038,CUST-0294,AGT-0008,PROD-003,Property,2024-08-08,2025-08-03,74015.9,12,expired
POL-0039,CUST-0019,AGT-0013,PROD-001,Motor,2025-12-03,2030-11-07,40643.06,60,active
POL-0040,CUST-0153,AGT-0019,PROD-004,Life,2025-11-22,2028-11-06,90139.45,36,active
POL-0041,CUST-0069,AGT-0017,PROD-001,Motor,2025-06-22,2028-06-06,24810.92,36,lapsed
POL-0042,CUST-0084,AGT-0015,PROD-004,Life,2025-08-25,2027-08-15,84705.11,24,active
POL-0043,CUST-0291,AGT-0007,PROD-003,Property,2025-11-22,2026-11-17,62880.16,12,active
POL-0044,CUST-0045,AGT-0013,PROD-002,Health,2024-09-13,2029-08-18,51349.49,60,active
POL-0045,CUST-0004,AGT-0009,PROD-001,Motor,2025-11-23,2027-11-13,25665.8,24,active
POL-0046,CUST-0155,AGT-0019,PROD-004,Life,2025-10-02,2030-09-06,80300.53,60,active
POL-0047,CUST-0061,AGT-0015,PROD-001,Motor,2025-09-06,2028-08-21,33632.44,36,active
POL-0048,CUST-0061,AGT-0010,PROD-003,Property,2025-12-19,2030-11-23,59594.79,60,active
POL-0049,CUST-0245,AGT-0005,PROD-003,Property,2024-09-09,2026-08-30,29243.36,24,active
POL-0050,CUST-0276,AGT-0007,PROD-004,Life,2024-09-18,2027-09-03,53267.65,36,lapsed
POL-0051,CUST-0186,AGT-0003,PROD-002,Health,2024-07-04,2025-06-29,36275.33,12,lapsed
POL-0052,CUST-0085,AGT-0011,PROD-001,Motor,2026-03-29,2028-03-18,29189.96,24,active
POL-0053,CUST-0047,AGT-0017,PROD-004,Life,2026-02-01,2028-01-22,77353.44,24,lapsed
POL-0054,CUST-0234,AGT-0019,PROD-004,Life,2026-04-05,2031-03-10,30555.55,60,lapsed
POL-0055,CUST-0012,AGT-0013,PROD-001,Motor,2024-11-05,2029-10-10,32892.41,60,active
POL-0056,CUST-0217,AGT-0012,PROD-003,Property,2026-05-28,2028-05-17,52590.23,24,active
POL-0057,CUST-0242,AGT-0002,PROD-001,Motor,2024-11-23,2025-11-18,42579.56,12,expired
POL-0058,CUST-0192,AGT-0013,PROD-003,Property,2025-04-08,2027-03-29,64983.18,24,lapsed
POL-0059,CUST-0179,AGT-0004,PROD-004,Life,2025-05-10,2030-04-14,26420.0,60,active
POL-0060,CUST-0002,AGT-0001,PROD-002,Health,2024-11-27,2029-11-01,36442.13,60,active
POL-0061,CUST-0127,AGT-0015,PROD-003,Property,2025-02-11,2030-01-16,49575.68,60,active
POL-0062,CUST-0017,AGT-0014,PROD-003,Property,2025-12-24,2028-12-08,27251.23,36,active
POL-0063,CUST-0229,AGT-0020,PROD-001,Motor,2025-09-27,2027-09-17,10489.76,24,active
POL-0064,CUST-0277,AGT-0007,PROD-001,Motor,2025-09-23,2026-09-18,22883.82,12,active
POL-0065,CUST-0296,AGT-0020,PROD-001,Motor,2026-01-08,2028-12-23,16663.98,36,active
POL-0066,CUST-0212,AGT-0010,PROD-003,Property,2025-10-01,2028-09-15,71956.79,36,active
POL-0067,CUST-0285,AGT-0016,PROD-003,Property,2026-03-30,2028-03-19,55689.55,24,lapsed
POL-0068,CUST-0214,AGT-0014,PROD-001,Motor,2025-06-13,2030-05-18,37074.77,60,active
POL-0069,CUST-0124,AGT-0008,PROD-002,Health,2025-07-28,2030-07-02,19193.95,60,lapsed
POL-0070,CUST-0288,AGT-0014,PROD-003,Property,2024-06-06,2026-05-27,67375.45,24,expired
POL-0071,CUST-0105,AGT-0011,PROD-004,Life,2024-11-07,2026-10-28,51073.52,24,active
POL-0072,CUST-0027,AGT-0009,PROD-001,Motor,2025-02-25,2028-02-10,11421.17,36,active
POL-0073,CUST-0287,AGT-0007,PROD-004,Life,2024-07-11,2025-07-06,89889.64,12,expired
POL-0074,CUST-0109,AGT-0007,PROD-004,Life,2025-10-30,2028-10-14,44255.04,36,active
POL-0075,CUST-0204,AGT-0008,PROD-001,Motor,2025-01-26,2027-01-16,33738.17,24,active
POL-0076,CUST-0158,AGT-0009,PROD-003,Property,2025-08-15,2030-07-20,45306.28,60,active
POL-0077,CUST-0164,AGT-0007,PROD-003,Property,2024-12-22,2029-11-26,45290.26,60,lapsed
POL-0078,CUST-0075,AGT-0001,PROD-003,Property,2025-07-15,2030-06-19,17971.5,60,active
POL-0079,CUST-0169,AGT-0008,PROD-003,Property,2024-11-11,2029-10-16,34187.5,60,active
POL-0080,CUST-0132,AGT-0016,PROD-004,Life,2024-10-25,2026-10-15,59944.12,24,active
POL-0081,CUST-0087,AGT-0005,PROD-004,Life,2025-02-14,2027-02-04,78621.78,24,active
POL-0082,CUST-0025,AGT-0001,PROD-004,Life,2025-11-24,2026-11-19,61915.55,12,active
POL-0083,CUST-0005,AGT-0007,PROD-004,Life,2026-01-11,2028-01-01,25437.44,24,active
POL-0084,CUST-0248,AGT-0016,PROD-004,Life,2025-05-14,2026-05-09,69426.82,12,lapsed
POL-0085,CUST-0275,AGT-0010,PROD-001,Motor,2026-05-25,2031-04-29,8438.49,60,active
POL-0086,CUST-0055,AGT-0004,PROD-001,Motor,2025-01-02,2029-12-07,37828.2,60,active
POL-0087,CUST-0182,AGT-0009,PROD-002,Health,2025-09-27,2027-09-17,40989.04,24,active
POL-0088,CUST-0290,AGT-0008,PROD-004,Life,2026-03-12,2029-02-24,96743.82,36,lapsed
POL-0089,CUST-0048,AGT-0013,PROD-002,Health,2025-07-28,2026-07-23,42686.79,12,active
POL-0090,CUST-0088,AGT-0003,PROD-004,Life,2025-05-10,2030-04-14,24489.2,60,active
POL-0091,CUST-0271,AGT-0002,PROD-004,Life,2025-03-13,2028-02-26,65268.53,36,active
POL-0092,CUST-0144,AGT-0018,PROD-002,Health,2025-10-27,2030-10-01,23554.75,60,active
POL-0093,CUST-0074,AGT-0013,PROD-001,Motor,2025-11-29,2028-11-13,8579.35,36,active
POL-0094,CUST-0277,AGT-0011,PROD-001,Motor,2025-07-29,2027-07-19,28866.45,24,lapsed
POL-0095,CUST-0028,AGT-0004,PROD-004,Life,2026-01-08,2027-01-03,60063.43,12,active
POL-0096,CUST-0168,AGT-0001,PROD-004,Life,2025-10-06,2026-10-01,47247.42,12,lapsed
POL-0097,CUST-0222,AGT-0006,PROD-003,Property,2025-02-24,2030-01-29,29829.0,60,lapsed
POL-0098,CUST-0043,AGT-0009,PROD-004,Life,2026-03-05,2029-02-17,83844.41,36,active
POL-0099,CUST-0185,AGT-0004,PROD-002,Health,2025-05-07,2027-04-27,46982.76,24,active
POL-0100,CUST-0053,AGT-0005,PROD-001,Motor,2026-05-26,2029-05-10,24455.23,36,active
POL-0101,CUST-0053,AGT-0001,PROD-001,Motor,2025-11-21,2030-10-26,24607.22,60,lapsed
POL-0102,CUST-0198,AGT-0001,PROD-001,Motor,2025-06-03,2026-05-29,30086.21,12,renewed
POL-0103,CUST-0293,AGT-0017,PROD-003,Property,2025-04-03,2030-03-08,65645.99,60,active
POL-0104,CUST-0155,AGT-0009,PROD-002,Health,2024-06-29,2029-06-03,18475.09,60,active
POL-0105,CUST-0216,AGT-0010,PROD-004,Life,2026-01-02,2026-12-28,33376.59,12,active
POL-0106,CUST-0254,AGT-0020,PROD-004,Life,2026-03-14,2029-02-26,40135.98,36,active
POL-0107,CUST-0203,AGT-0011,PROD-002,Health,2025-02-17,2026-02-12,16774.48,12,expired
POL-0108,CUST-0154,AGT-0011,PROD-004,Life,2025-06-28,2030-06-02,46778.9,60,active
POL-0109,CUST-0164,AGT-0010,PROD-002,Health,2025-01-26,2028-01-11,18881.86,36,lapsed
POL-0110,CUST-0202,AGT-0012,PROD-004,Life,2024-10-19,2026-10-09,46070.9,24,active
POL-0111,CUST-0282,AGT-0001,PROD-001,Motor,2024-10-31,2026-10-21,29912.4,24,active
POL-0112,CUST-0036,AGT-0014,PROD-004,Life,2024-06-05,2026-05-26,55076.4,24,renewed
POL-0113,CUST-0217,AGT-0013,PROD-004,Life,2026-01-09,2028-12-24,39361.69,36,active
POL-0114,CUST-0279,AGT-0002,PROD-001,Motor,2025-02-26,2030-01-31,29543.03,60,lapsed
POL-0115,CUST-0182,AGT-0006,PROD-003,Property,2024-06-12,2025-06-07,22109.01,12,expired
POL-0116,CUST-0221,AGT-0004,PROD-001,Motor,2024-11-01,2029-10-06,43772.01,60,active
POL-0117,CUST-0229,AGT-0012,PROD-001,Motor,2026-02-20,2029-02-04,16214.04,36,active
POL-0118,CUST-0248,AGT-0004,PROD-004,Life,2025-02-11,2027-02-01,47597.39,24,active
POL-0119,CUST-0073,AGT-0012,PROD-003,Property,2025-04-01,2026-03-27,22544.51,12,lapsed
POL-0120,CUST-0179,AGT-0016,PROD-003,Property,2025-06-14,2030-05-19,65977.55,60,lapsed
POL-0121,CUST-0023,AGT-0004,PROD-001,Motor,2025-03-09,2030-02-11,19799.65,60,active
POL-0122,CUST-0125,AGT-0017,PROD-001,Motor,2025-06-14,2026-06-09,33054.16,12,active
POL-0123,CUST-0237,AGT-0008,PROD-002,Health,2024-11-12,2026-11-02,26549.48,24,lapsed
POL-0124,CUST-0203,AGT-0001,PROD-004,Life,2024-08-25,2026-08-15,34910.95,24,lapsed
POL-0125,CUST-0106,AGT-0009,PROD-002,Health,2025-02-25,2030-01-30,29441.79,60,active
POL-0126,CUST-0096,AGT-0012,PROD-001,Motor,2024-10-17,2025-10-12,37581.59,12,lapsed
POL-0127,CUST-0271,AGT-0011,PROD-003,Property,2025-11-11,2030-10-16,22407.07,60,lapsed
POL-0128,CUST-0181,AGT-0015,PROD-004,Life,2024-09-13,2029-08-18,66960.38,60,active
POL-0129,CUST-0069,AGT-0011,PROD-002,Health,2024-07-11,2027-06-26,55934.13,36,active
POL-0130,CUST-0073,AGT-0017,PROD-001,Motor,2025-09-29,2028-09-13,12327.11,36,active
POL-0131,CUST-0096,AGT-0016,PROD-004,Life,2025-03-29,2027-03-19,65984.48,24,lapsed
POL-0132,CUST-0096,AGT-0011,PROD-002,Health,2024-11-09,2026-10-30,34482.1,24,active
POL-0133,CUST-0249,AGT-0005,PROD-004,Life,2024-09-04,2025-08-30,89241.78,12,expired
POL-0134,CUST-0213,AGT-0015,PROD-002,Health,2025-05-03,2030-04-07,30456.72,60,lapsed
POL-0135,CUST-0150,AGT-0002,PROD-004,Life,2025-12-11,2026-12-06,65231.82,12,active
POL-0136,CUST-0290,AGT-0016,PROD-003,Property,2025-10-13,2028-09-27,25933.58,36,lapsed
POL-0137,CUST-0188,AGT-0018,PROD-001,Motor,2024-10-22,2025-10-17,17911.89,12,lapsed
POL-0138,CUST-0127,AGT-0010,PROD-001,Motor,2025-03-06,2027-02-24,44621.7,24,active
POL-0139,CUST-0225,AGT-0004,PROD-001,Motor,2025-02-25,2028-02-10,20897.35,36,active
POL-0140,CUST-0085,AGT-0020,PROD-002,Health,2025-10-29,2028-10-13,53052.43,36,lapsed
POL-0141,CUST-0273,AGT-0009,PROD-002,Health,2025-11-01,2027-10-22,50272.02,24,active
POL-0142,CUST-0264,AGT-0004,PROD-002,Health,2025-07-04,2028-06-18,24466.66,36,active
POL-0143,CUST-0065,AGT-0005,PROD-002,Health,2025-04-05,2026-03-31,59624.31,12,lapsed
POL-0144,CUST-0251,AGT-0005,PROD-002,Health,2026-01-02,2028-12-17,51424.09,36,lapsed
POL-0145,CUST-0048,AGT-0013,PROD-003,Property,2024-08-27,2029-08-01,39386.2,60,active
POL-0146,CUST-0168,AGT-0019,PROD-003,Property,2024-06-19,2027-06-04,44555.22,36,lapsed
POL-0147,CUST-0033,AGT-0018,PROD-001,Motor,2026-02-25,2031-01-30,31489.1,60,active
POL-0148,CUST-0138,AGT-0011,PROD-004,Life,2025-10-20,2030-09-24,85987.81,60,lapsed
POL-0149,CUST-0176,AGT-0002,PROD-003,Property,2025-06-20,2027-06-10,51799.24,24,lapsed
POL-0150,CUST-0226,AGT-0015,PROD-001,Motor,2026-02-19,2031-01-24,8602.41,60,active
POL-0151,CUST-0155,AGT-0006,PROD-001,Motor,2025-03-19,2027-03-09,44840.68,24,active
POL-0152,CUST-0085,AGT-0002,PROD-003,Property,2026-02-25,2029-02-09,31275.3,36,active
POL-0153,CUST-0220,AGT-0003,PROD-004,Life,2024-08-29,2027-08-14,78079.07,36,active
POL-0154,CUST-0116,AGT-0017,PROD-001,Motor,2026-05-30,2028-05-19,25641.85,24,active
POL-0155,CUST-0217,AGT-0005,PROD-004,Life,2026-05-22,2027-05-17,75647.77,12,active
POL-0156,CUST-0053,AGT-0011,PROD-004,Life,2026-03-20,2028-03-09,50645.59,24,active
POL-0157,CUST-0074,AGT-0003,PROD-003,Property,2025-07-29,2027-07-19,39876.87,24,active
POL-0158,CUST-0078,AGT-0014,PROD-001,Motor,2024-09-14,2026-09-04,24283.68,24,active
POL-0159,CUST-0064,AGT-0019,PROD-004,Life,2025-10-21,2026-10-16,91727.44,12,active
POL-0160,CUST-0127,AGT-0009,PROD-004,Life,2025-06-06,2030-05-11,45160.29,60,active
POL-0161,CUST-0155,AGT-0007,PROD-001,Motor,2025-09-19,2028-09-03,36821.88,36,active
POL-0162,CUST-0254,AGT-0013,PROD-002,Health,2025-04-25,2028-04-09,42308.49,36,active
POL-0163,CUST-0271,AGT-0001,PROD-001,Motor,2025-09-27,2030-09-01,31609.05,60,active
POL-0164,CUST-0188,AGT-0018,PROD-003,Property,2025-07-11,2027-07-01,40144.49,24,lapsed
POL-0165,CUST-0008,AGT-0009,PROD-002,Health,2025-02-03,2026-01-29,10834.47,12,expired
POL-0166,CUST-0260,AGT-0010,PROD-002,Health,2026-04-21,2027-04-16,57434.0,12,lapsed
POL-0167,CUST-0143,AGT-0003,PROD-004,Life,2025-03-24,2030-02-26,26594.22,60,active
POL-0168,CUST-0275,AGT-0011,PROD-003,Property,2026-03-12,2028-03-01,78330.37,24,active
POL-0169,CUST-0123,AGT-0002,PROD-004,Life,2024-10-08,2025-10-03,44813.56,12,renewed
POL-0170,CUST-0159,AGT-0006,PROD-002,Health,2026-03-04,2031-02-06,15799.33,60,active
POL-0171,CUST-0255,AGT-0012,PROD-001,Motor,2026-05-19,2028-05-08,33955.49,24,active
POL-0172,CUST-0061,AGT-0001,PROD-003,Property,2025-12-12,2028-11-26,23250.49,36,active
POL-0173,CUST-0296,AGT-0003,PROD-003,Property,2025-03-18,2028-03-02,49050.52,36,active
POL-0174,CUST-0189,AGT-0006,PROD-004,Life,2025-02-19,2028-02-04,24435.13,36,active
POL-0175,CUST-0023,AGT-0001,PROD-003,Property,2026-02-15,2027-02-10,29846.29,12,active
POL-0176,CUST-0092,AGT-0002,PROD-002,Health,2026-04-14,2031-03-19,28198.82,60,active
POL-0177,CUST-0139,AGT-0003,PROD-004,Life,2025-10-14,2028-09-28,39861.05,36,active
POL-0178,CUST-0206,AGT-0003,PROD-003,Property,2026-01-29,2027-01-24,26657.38,12,active
POL-0179,CUST-0005,AGT-0012,PROD-004,Life,2025-08-15,2028-07-30,46184.07,36,lapsed
POL-0180,CUST-0238,AGT-0012,PROD-002,Health,2025-08-06,2028-07-21,46978.8,36,active
POL-0181,CUST-0013,AGT-0008,PROD-004,Life,2025-11-12,2027-11-02,32045.31,24,lapsed
POL-0182,CUST-0193,AGT-0010,PROD-003,Property,2024-08-18,2025-08-13,76814.37,12,expired
POL-0183,CUST-0073,AGT-0009,PROD-001,Motor,2025-11-02,2027-10-23,23533.19,24,active
POL-0184,CUST-0191,AGT-0015,PROD-001,Motor,2026-04-17,2028-04-06,41199.64,24,lapsed
POL-0185,CUST-0202,AGT-0003,PROD-001,Motor,2024-10-14,2025-10-09,26700.83,12,lapsed
POL-0186,CUST-0162,AGT-0013,PROD-001,Motor,2025-03-12,2027-03-02,16760.55,24,active
POL-0187,CUST-0104,AGT-0005,PROD-003,Property,2025-07-10,2030-06-14,32677.13,60,active
POL-0188,CUST-0161,AGT-0014,PROD-001,Motor,2025-12-23,2026-12-18,14081.87,12,lapsed
POL-0189,CUST-0232,AGT-0010,PROD-001,Motor,2024-11-29,2027-11-14,43691.48,36,active
POL-0190,CUST-0021,AGT-0007,PROD-004,Life,2025-09-02,2026-08-28,27233.67,12,active
POL-0191,CUST-0203,AGT-0017,PROD-003,Property,2025-12-31,2026-12-26,61225.23,12,active
POL-0192,CUST-0016,AGT-0013,PROD-001,Motor,2024-07-07,2027-06-22,17626.17,36,active
POL-0193,CUST-0072,AGT-0004,PROD-004,Life,2024-11-08,2026-10-29,27578.02,24,active
POL-0194,CUST-0191,AGT-0003,PROD-001,Motor,2026-03-29,2028-03-18,12836.46,24,lapsed
POL-0195,CUST-0228,AGT-0005,PROD-003,Property,2026-03-16,2027-03-11,79815.49,12,active
POL-0196,CUST-0026,AGT-0006,PROD-001,Motor,2025-06-26,2026-06-21,9579.76,12,lapsed
POL-0197,CUST-0089,AGT-0012,PROD-004,Life,2025-04-22,2030-03-27,22358.58,60,lapsed
POL-0198,CUST-0018,AGT-0020,PROD-002,Health,2025-11-21,2028-11-05,23992.73,36,active
POL-0199,CUST-0032,AGT-0003,PROD-002,Health,2024-08-07,2027-07-23,34944.58,36,lapsed
POL-0200,CUST-0279,AGT-0001,PROD-003,Property,2025-05-04,2027-04-24,42250.26,24,active
POL-0201,CUST-0177,AGT-0019,PROD-004,Life,2025-05-29,2030-05-03,63561.42,60,lapsed
POL-0202,CUST-0113,AGT-0001,PROD-003,Property,2025-04-29,2028-04-13,26688.03,36,active
POL-0203,CUST-0082,AGT-0004,PROD-003,Property,2026-04-02,2031-03-07,49413.1,60,active
POL-0204,CUST-0113,AGT-0019,PROD-002,Health,2024-07-28,2026-07-18,23326.35,24,active
POL-0205,CUST-0184,AGT-0019,PROD-004,Life,2025-06-02,2027-05-23,34088.03,24,active
POL-0206,CUST-0289,AGT-0007,PROD-001,Motor,2024-06-10,2027-05-26,43059.67,36,active
POL-0207,CUST-0047,AGT-0002,PROD-004,Life,2024-11-22,2027-11-07,34044.54,36,active
POL-0208,CUST-0001,AGT-0011,PROD-002,Health,2024-09-22,2026-09-12,10996.4,24,lapsed
POL-0209,CUST-0031,AGT-0001,PROD-002,Health,2026-01-18,2029-01-02,45846.88,36,active
POL-0210,CUST-0038,AGT-0012,PROD-002,Health,2024-10-08,2026-09-28,48718.32,24,active
POL-0211,CUST-0070,AGT-0006,PROD-004,Life,2024-10-08,2025-10-03,46924.89,12,renewed
POL-0212,CUST-0288,AGT-0020,PROD-004,Life,2024-08-15,2029-07-20,71934.42,60,active
POL-0213,CUST-0066,AGT-0006,PROD-003,Property,2025-10-15,2027-10-05,39594.97,24,active
POL-0214,CUST-0094,AGT-0020,PROD-001,Motor,2024-06-12,2029-05-17,39478.01,60,active
POL-0215,CUST-0255,AGT-0005,PROD-003,Property,2024-09-12,2026-09-02,56577.04,24,active
POL-0216,CUST-0086,AGT-0003,PROD-003,Property,2026-03-13,2028-03-02,37542.66,24,active
POL-0217,CUST-0035,AGT-0012,PROD-003,Property,2025-02-28,2026-02-23,32238.81,12,expired
POL-0218,CUST-0215,AGT-0006,PROD-003,Property,2026-02-10,2027-02-05,18129.58,12,lapsed
POL-0219,CUST-0052,AGT-0016,PROD-004,Life,2025-01-12,2029-12-17,48098.49,60,lapsed
POL-0220,CUST-0151,AGT-0001,PROD-002,Health,2025-12-16,2030-11-20,13685.47,60,active
POL-0221,CUST-0193,AGT-0006,PROD-003,Property,2025-09-06,2026-09-01,19823.03,12,active
POL-0222,CUST-0248,AGT-0001,PROD-001,Motor,2024-11-17,2025-11-12,20504.17,12,lapsed
POL-0223,CUST-0081,AGT-0002,PROD-004,Life,2024-07-31,2026-07-21,68585.41,24,lapsed
POL-0224,CUST-0284,AGT-0018,PROD-001,Motor,2025-06-26,2027-06-16,44052.74,24,lapsed
POL-0225,CUST-0026,AGT-0013,PROD-003,Property,2024-07-24,2027-07-09,34331.04,36,active
POL-0226,CUST-0045,AGT-0010,PROD-004,Life,2025-12-25,2026-12-20,48866.31,12,lapsed
POL-0227,CUST-0150,AGT-0003,PROD-004,Life,2025-11-08,2026-11-03,22058.86,12,active
POL-0228,CUST-0251,AGT-0009,PROD-004,Life,2026-02-02,2029-01-17,82790.13,36,lapsed
POL-0229,CUST-0190,AGT-0006,PROD-001,Motor,2024-08-12,2029-07-17,14840.61,60,lapsed
POL-0230,CUST-0116,AGT-0009,PROD-004,Life,2026-04-16,2029-03-31,55179.23,36,active
POL-0231,CUST-0278,AGT-0014,PROD-001,Motor,2025-12-28,2026-12-23,11171.17,12,active
POL-0232,CUST-0215,AGT-0018,PROD-002,Health,2024-11-11,2025-11-06,52039.86,12,lapsed
POL-0233,CUST-0203,AGT-0002,PROD-004,Life,2024-10-22,2026-10-12,58100.98,24,active
POL-0234,CUST-0109,AGT-0007,PROD-002,Health,2026-01-28,2031-01-02,18643.95,60,active
POL-0235,CUST-0104,AGT-0005,PROD-002,Health,2026-04-18,2031-03-23,13918.43,60,lapsed
POL-0236,CUST-0283,AGT-0011,PROD-003,Property,2025-07-08,2026-07-03,20656.78,12,lapsed
POL-0237,CUST-0268,AGT-0014,PROD-003,Property,2024-12-15,2029-11-19,74615.52,60,active
POL-0238,CUST-0055,AGT-0019,PROD-001,Motor,2025-04-02,2027-03-23,13483.39,24,active
POL-0239,CUST-0197,AGT-0016,PROD-001,Motor,2025-08-12,2028-07-27,40482.06,36,active
POL-0240,CUST-0206,AGT-0002,PROD-004,Life,2026-04-23,2028-04-12,42033.13,24,active
POL-0241,CUST-0138,AGT-0012,PROD-004,Life,2025-06-26,2027-06-16,23943.28,24,lapsed
POL-0242,CUST-0051,AGT-0008,PROD-001,Motor,2025-06-20,2028-06-04,19505.12,36,lapsed
POL-0243,CUST-0138,AGT-0014,PROD-002,Health,2025-07-28,2030-07-02,48701.55,60,active
POL-0244,CUST-0249,AGT-0017,PROD-001,Motor,2025-11-20,2030-10-25,15821.45,60,lapsed
POL-0245,CUST-0070,AGT-0017,PROD-003,Property,2026-04-04,2028-03-24,19265.1,24,lapsed
POL-0246,CUST-0030,AGT-0008,PROD-001,Motor,2025-12-05,2027-11-25,40381.68,24,active
POL-0247,CUST-0102,AGT-0009,PROD-001,Motor,2025-02-18,2026-02-13,41967.15,12,lapsed
POL-0248,CUST-0016,AGT-0008,PROD-003,Property,2025-02-10,2030-01-15,56301.64,60,active
POL-0249,CUST-0283,AGT-0012,PROD-003,Property,2025-01-16,2029-12-21,26542.94,60,lapsed
POL-0250,CUST-0146,AGT-0001,PROD-003,Property,2025-12-15,2028-11-29,63682.47,36,active
POL-0251,CUST-0114,AGT-0008,PROD-004,Life,2026-04-11,2028-03-31,88305.71,24,active
POL-0252,CUST-0243,AGT-0005,PROD-002,Health,2025-08-29,2030-08-03,35664.06,60,active
POL-0253,CUST-0157,AGT-0009,PROD-002,Health,2024-09-23,2025-09-18,21188.5,12,lapsed
POL-0254,CUST-0239,AGT-0010,PROD-004,Life,2025-05-11,2028-04-25,56719.84,36,active
POL-0255,CUST-0192,AGT-0018,PROD-004,Life,2024-10-10,2025-10-05,20587.81,12,lapsed
POL-0256,CUST-0142,AGT-0011,PROD-003,Property,2025-07-30,2026-07-25,46313.0,12,active
POL-0257,CUST-0030,AGT-0020,PROD-003,Property,2025-09-06,2028-08-21,27243.41,36,active
POL-0258,CUST-0255,AGT-0010,PROD-004,Life,2024-07-24,2027-07-09,74460.46,36,active
POL-0259,CUST-0299,AGT-0019,PROD-003,Property,2025-03-29,2030-03-03,40237.87,60,active
POL-0260,CUST-0184,AGT-0017,PROD-002,Health,2025-06-14,2027-06-04,44315.91,24,lapsed
POL-0261,CUST-0066,AGT-0009,PROD-003,Property,2025-12-08,2027-11-28,34095.96,24,lapsed
