claim_id,policy_id,customer_id,agent_id,claim_type,incident_date,claim_amount,days_since_policy_start,previous_claims_count,customer_age,policy_premium_ratio,surveyor_mismatch_flag,status,is_fraud
CLM-0022,POL-0100,CUST-0053,AGT-0005,life,2025-11-01,158395.38,41,3,32,6.48,0,pending,1
CLM-0023,POL-0413,CUST-0075,AGT-0005,property_damage,2026-05-28,7202.97,236,2,41,0.14,0,pending,0
CLM-0024,POL-0203,CUST-0082,AGT-0004,life,2025-10-01,125118.7,59,1,37,2.53,0,settled,0
CLM-0025,POL-0080,CUST-0132,AGT-0016,motor_accident,2025-09-07,178951.37,579,2,54,2.99,0,settled,0
CLM-0026,POL-0275,CUST-0259,AGT-0006,motor_accident,2025-12-09,352089.17,22,5,22,17.13,0,settled,1
CLM-0027,POL-0293,CUST-0134,AGT-0011,motor_accident,2025-09-19,41538.89,149,2,45,0.75,0,rejected,0
CLM-0028,POL-0425,CUST-0033,AGT-0016,health,2026-04-14,47147.28,339,1,32,2.08,0,settled,0
CLM-0029,POL-0464,CUST-0137,AGT-0017,motor_accident,2025-09-09,42091.28,525,2,45,0.62,0,settled,0
CLM-0030,POL-0371,CUST-0113,AGT-0014,motor_accident,2025-12-12,285655.88,34,3,21,5.35,1,pending,1
CLM-0031,POL-0267,CUST-0003,AGT-0015,health,2026-01-05,150383.17,53,2,65,4.25,0,settled,0
CLM-0032,POL-0344,CUST-0100,AGT-0004,motor_accident,2026-02-15,202262.25,18,3,21,9.61,1,rejected,1
CLM-0033,POL-0139,CUST-0225,AGT-0004,property_damage,2025-08-28,396523.79,19,7,24,18.97,0,pending,1
CLM-0034,POL-0242,CUST-0051,AGT-0008,life,2025-07-20,14838.92,422,0,30,0.76,0,settled,0
CLM-0035,POL-0366,CUST-0118,AGT-0014,life,2026-04-12,162813.47,110,3,61,4.06,0,settled,0
CLM-0036,POL-0119,CUST-0073,AGT-0012,property_damage,2025-12-16,33025.73,661,2,48,1.46,0,settled,0
CLM-0037,POL-0244,CUST-0249,AGT-0017,health,2025-09-13,317528.23,11,5,33,20.07,1,pending,1
CLM-0038,POL-0285,CUST-0152,AGT-0009,health,2025-08-24,159524.03,575,3,50,5.01,1,pending,0
CLM-0039,POL-0034,CUST-0288,AGT-0009,health,2026-03-04,163713.56,635,3,52,5.82,1,settled,0
CLM-0040,POL-0429,CUST-0277,AGT-0006,health,2025-12-25,120471.81,504,2,60,1.89,0,rejected,0
CLM-0041,POL-0056,CUST-0217,AGT-0012,health,2025-08-07,121299.06,418,2,56,2.31,0,rejected,0
CLM-0042,POL-0339,CUST-0196,AGT-0013,property_damage,2025-12-29,335939.54,25,7,30,10.09,1,rejected,1
CLM-0043,POL-0368,CUST-0066,AGT-0019,health,2026-01-01,72131.6,121,0,64,6.49,1,pending,0
CLM-0044,POL-0001,CUST-0067,AGT-0014,life,2025-07-15,165046.89,397,0,43,5.45,0,settled,0
CLM-0045,POL-0196,CUST-0026,AGT-0006,property_damage,2025-10-30,46187.13,207,3,33,4.82,0,pending,0
CLM-0046,POL-0006,CUST-0016,AGT-0016,life,2025-10-10,155497.73,32,8,27,4.85,0,rejected,1
CLM-0047,POL-0093,CUST-0074,AGT-0013,motor_accident,2025-08-09,87704.31,490,3,47,10.22,0,settled,0
CLM-0048,POL-0138,CUST-0127,AGT-0010,property_damage,2026-04-04,111502.42,405,0,27,2.5,1,settled,0
CLM-0049,POL-0374,CUST-0091,AGT-0016,motor_accident,2026-01-26,196797.92,316,3,58,5.1,0,settled,0
CLM-0050,POL-0409,CUST-0096,AGT-0018,life,2025-08-11,124542.63,381,0,55,4.06,0,settled,0
CLM-0051,POL-0492,CUST-0281,AGT-0016,property_damage,2026-04-30,62450.5,201,0,63,3.09,0,settled,0
CLM-0052,POL-0294,CUST-0174,AGT-0017,motor_accident,2026-01-09,496627.69,40,3,25,11.24,1,pending,1
CLM-0053,POL-0440,CUST-0120,AGT-0003,property_damage,2026-03-03,149578.69,648,1,62,2.43,0,settled,0
CLM-0054,POL-0093,CUST-0074,AGT-0013,health,2025-09-20,173092.81,381,0,34,20.18,1,settled,0
CLM-0055,POL-0122,CUST-0125,AGT-0017,property_damage,2026-04-02,146569.82,201,1,61,4.43,0,pending,0
CLM-0056,POL-0244,CUST-0249,AGT-0017,health,2025-09-02,150499.36,575,1,49,9.51,0,rejected,0
CLM-0057,POL-0475,CUST-0048,AGT-0019,life,2025-07-23,79490.8,353,0,31,2.64,1,rejected,0
CLM-0058,POL-0139,CUST-0225,AGT-0004,health,2025-09-07,24163.97,700,3,54,1.16,0,settled,0
CLM-0059,POL-0281,CUST-0102,AGT-0020,life,2025-12-03,152966.66,5,3,27,4.13,0,pending,1
CLM-0060,POL-0099,CUST-0185,AGT-0004,motor_accident,2025-06-03,366789.03,4,7,31,7.81,0,settled,1
CLM-0061,POL-0067,CUST-0285,AGT-0016,life,2025-06-27,153952.26,693,1,32,2.76,0,rejected,0
CLM-0062,POL-0394,CUST-0090,AGT-0014,motor_accident,2025-11-17,181161.34,361,2,35,4.68,0,settled,0
CLM-0063,POL-0490,CUST-0076,AGT-0010,life,2026-04-06,39696.25,101,3,37,0.84,1,pending,0
CLM-0064,POL-0315,CUST-0007,AGT-0017,property_damage,2025-10-15,182958.8,295,0,27,2.03,0,pending,0
CLM-0065,POL-0335,CUST-0295,AGT-0008,life,2025-08-10,186914.28,710,3,42,5.0,0,pending,0
CLM-0066,POL-0224,CUST-0284,AGT-0018,life,2026-03-30,146914.65,101,1,25,3.33,0,settled,0
CLM-0067,POL-0350,CUST-0142,AGT-0012,property_damage,2026-04-20,15762.96,692,0,48,0.26,1,settled,0
CLM-0068,POL-0091,CUST-0271,AGT-0002,property_damage,2025-09-24,193665.03,706,1,44,2.97,0,pending,0
CLM-0069,POL-0072,CUST-0027,AGT-0009,property_damage,2025-09-18,158877.61,38,4,28,13.91,1,rejected,1
CLM-0070,POL-0019,CUST-0286,AGT-0012,life,2025-06-18,70855.13,73,3,32,1.89,0,rejected,0
CLM-0071,POL-0380,CUST-0162,AGT-0014,motor_accident,2026-01-27,185339.08,67,1,56,8.47,0,settled,0
CLM-0072,POL-0089,CUST-0048,AGT-0013,motor_accident,2026-04-07,181409.16,129,3,64,4.25,0,pending,0
CLM-0073,POL-0412,CUST-0052,AGT-0009,health,2025-12-18,70781.91,724,3,45,1.36,0,settled,0
CLM-0074,POL-0304,CUST-0281,AGT-0017,health,2025-10-19,17328.27,310,1,51,0.45,0,settled,0
CLM-0075,POL-0069,CUST-0124,AGT-0008,life,2026-04-20,446578.35,40,6,33,23.27,0,pending,1
CLM-0076,POL-0362,CUST-0188,AGT-0019,property_damage,2025-09-06,177948.45,456,3,33,4.51,0,settled,0
CLM-0077,POL-0313,CUST-0177,AGT-0005,motor_accident,2025-08-19,121273.03,541,0,65,2.94,0,settled,0
CLM-0078,POL-0049,CUST-0245,AGT-0005,health,2026-04-04,173232.56,582,1,54,5.92,0,settled,0
CLM-0079,POL-0091,CUST-0271,AGT-0002,property_damage,2025-07-20,184921.24,85,2,43,2.83,0,settled,0
CLM-0080,POL-0054,CUST-0234,AGT-0019,motor_accident,2026-01-31,185347.96,210,1,26,6.07,0,settled,0
CLM-0081,POL-0215,CUST-0255,AGT-0005,health,2025-11-01,136986.25,363,1,32,2.42,0,rejected,0
CLM-0082,POL-0038,CUST-0294,AGT-0008,life,2025-11-21,99459.5,476,1,38,1.34,1,pending,0
CLM-0083,POL-0500,CUST-0199,AGT-0001,life,2025-10-09,70498.81,62,0,42,1.39,0,settled,0
CLM-0084,POL-0454,CUST-0278,AGT-0016,motor_accident,2025-11-02,35573.68,683,1,61,0.58,1,rejected,0
CLM-0085,POL-0303,CUST-0050,AGT-0008,health,2025-08-02,95238.77,44,3,40,1.23,0,rejected,0
CLM-0086,POL-0214,CUST-0094,AGT-0020,motor_accident,2025-10-12,12811.44,511,0,52,0.32,1,settled,0
CLM-0087,POL-0386,CUST-0047,AGT-0005,motor_accident,2026-05-23,406125.2,14,4,26,9.3,1,pending,1
CLM-0088,POL-0361,CUST-0053,AGT-0017,life,2026-02-26,116224.26,627,0,54,1.18,0,settled,0
CLM-0089,POL-0361,CUST-0053,AGT-0017,life,2026-01-13,172774.62,102,3,46,1.75,1,settled,0
CLM-0090,POL-0407,CUST-0266,AGT-0015,property_damage,2026-05-05,138509.71,665,2,28,2.45,1,pending,0
CLM-0091,POL-0317,CUST-0152,AGT-0007,health,2026-03-22,278251.55,42,7,32,16.06,0,settled,1
CLM-0092,POL-0059,CUST-0179,AGT-0004,property_damage,2025-09-16,148789.11,624,1,39,5.63,0,settled,0
CLM-0093,POL-0033,CUST-0178,AGT-0015,property_damage,2025-10-12,93220.08,543,0,55,3.82,1,settled,0
CLM-0094,POL-0457,CUST-0187,AGT-0020,property_damage,2026-04-04,22025.21,430,1,43,0.28,0,settled,0
CLM-0095,POL-0448,CUST-0008,AGT-0006,life,2025-12-05,190660.43,53,2,51,4.58,1,settled,0
CLM-0096,POL-0097,CUST-0222,AGT-0006,property_damage,2025-06-30,455127.8,15,7,31,15.26,1,rejected,1
CLM-0097,POL-0304,CUST-0281,AGT-0017,property_damage,2026-03-05,108382.41,591,3,54,2.8,0,settled,0
CLM-0098,POL-0191,CUST-0203,AGT-0017,health,2025-07-19,155101.2,78,1,47,2.53,0,rejected,0
CLM-0099,POL-0094,CUST-0277,AGT-0011,property_damage,2025-08-10,168669.68,712,1,35,5.84,0,pending,0
CLM-0100,POL-0095,CUST-0028,AGT-0004,health,2025-08-31,142891.2,711,2,47,2.38,0,settled,0
CLM-0101,POL-0477,CUST-0020,AGT-0019,property_damage,2025-07-04,33349.86,499,2,34,0.49,0,settled,0
CLM-0102,POL-0497,CUST-0235,AGT-0018,motor_accident,2025-09-28,196234.51,617,1,61,7.24,0,rejected,0
CLM-0103,POL-0060,CUST-0002,AGT-0001,health,2025-08-06,83317.83,255,3,47,2.29,0,settled,0
CLM-0104,POL-0012,CUST-0098,AGT-0006,life,2025-12-20,447307.99,44,8,22,5.26,1,rejected,1
CLM-0105,POL-0466,CUST-0292,AGT-0006,property_damage,2025-12-03,82523.81,467,2,49,5.5,0,settled,0
CLM-0106,POL-0045,CUST-0004,AGT-0009,life,2025-10-31,178121.95,455,3,43,6.94,0,pending,0
CLM-0107,POL-0107,CUST-0203,AGT-0011,motor_accident,2026-05-28,197734.57,567,2,29,11.79,1,settled,0
CLM-0108,POL-0090,CUST-0088,AGT-0003,life,2026-05-10,143498.17,170,1,36,5.86,0,settled,0
CLM-0109,POL-0156,CUST-0053,AGT-0011,life,2026-03-29,149271.92,259,0,25,2.95,0,settled,0
CLM-0110,POL-0092,CUST-0144,AGT-0018,motor_accident,2025-07-29,139129.42,280,0,32,5.91,0,settled,0
CLM-0111,POL-0290,CUST-0082,AGT-0004,motor_accident,2026-01-19,55292.75,517,0,48,1.9,1,pending,0
CLM-0112,POL-0164,CUST-0188,AGT-0018,property_damage,2026-05-07,140190.19,395,1,28,3.49,0,settled,0
CLM-0113,POL-0264,CUST-0257,AGT-0004,property_damage,2026-01-13,127465.84,126,1,59,2.21,0,settled,0
CLM-0114,POL-0274,CUST-0207,AGT-0001,life,2025-11-02,165546.39,43,1,58,2.6,0,settled,0
CLM-0115,POL-0112,CUST-0036,AGT-0014,motor_accident,2026-03-25,48117.13,222,0,51,0.87,0,rejected,0
CLM-0116,POL-0160,CUST-0127,AGT-0009,motor_accident,2026-02-07,32107.73,482,2,36,0.71,0,pending,0
CLM-0117,POL-0158,CUST-0078,AGT-0014,life,2025-10-23,195576.39,6,6,32,8.05,0,pending,1
CLM-0118,POL-0407,CUST-0266,AGT-0015,motor_accident,2026-04-12,120669.35,510,0,41,2.13,0,settled,0
CLM-0119,POL-0462,CUST-0037,AGT-0001,property_damage,2025-12-02,135767.13,59,0,34,5.67,0,pending,0
CLM-0120,POL-0124,CUST-0203,AGT-0001,property_damage,2026-03-05,18325.72,622,0,58,0.52,0,rejected,0
CLM-0121,POL-0499,CUST-0182,AGT-0010,motor_accident,2026-02-28,185225.26,546,3,48,3.88,1,settled,0
CLM-0122,POL-0110,CUST-0202,AGT-0012,life,2025-11-28,84477.7,351,0,54,1.83,0,settled,0
CLM-0123,POL-0043,CUST-0291,AGT-0007,life,2026-02-05,27565.91,320,3,63,0.44,0,settled,0
CLM-0124,POL-0097,CUST-0222,AGT-0006,life,2025-06-21,179477.16,517,2,36,6.02,0,pending,0
CLM-0125,POL-0338,CUST-0055,AGT-0010,health,2026-04-28,28247.48,434,3,62,1.33,0,settled,0
CLM-0126,POL-0103,CUST-0293,AGT-0017,property_damage,2025-07-06,198178.96,155,1,52,3.02,0,rejected,0
CLM-0127,POL-0342,CUST-0276,AGT-0018,property_damage,2025-09-23,83866.5,526,2,34,8.18,0,settled,0
CLM-0128,POL-0051,CUST-0186,AGT-0003,property_damage,2026-03-14,166910.93,540,0,36,4.6,0,settled,0
CLM-0129,POL-0339,CUST-0196,AGT-0013,property_damage,2025-08-27,154676.56,507,1,43,4.65,0,settled,0
CLM-0130,POL-0010,CUST-0063,AGT-0009,life,2025-10-17,11161.71,470,0,49,0.43,0,settled,0
CLM-0131,POL-0286,CUST-0149,AGT-0012,life,2025-09-24,156979.58,198,3,52,1.85,0,settled,0
CLM-0132,POL-0338,CUST-0055,AGT-0010,life,2026-01-17,110181.52,511,3,60,5.19,0,settled,0
CLM-0133,POL-0347,CUST-0052,AGT-0010,property_damage,2025-12-04,195667.67,358,0,26,3.34,1,settled,0
CLM-0134,POL-0392,CUST-0047,AGT-0018,motor_accident,2025-06-27,71545.02,129,3,47,1.16,0,settled,0
CLM-0135,POL-0304,CUST-0281,AGT-0017,property_damage,2026-05-12,390796.94,20,3,26,10.1,0,pending,1
CLM-0136,POL-0264,CUST-0257,AGT-0004,property_damage,2025-08-11,56990.68,510,0,45,0.99,0,pending,0
CLM-0137,POL-0354,CUST-0019,AGT-0018,life,2026-02-17,70513.66,544,2,35,1.93,1,settled,0
CLM-0138,POL-0110,CUST-0202,AGT-0012,motor_accident,2025-08-08,14268.62,617,3,39,0.31,1,pending,0
CLM-0139,POL-0035,CUST-0120,AGT-0002,property_damage,2025-09-15,108557.41,467,1,47,4.91,0,settled,0
CLM-0140,POL-0161,CUST-0155,AGT-0007,health,2025-08-09,83448.69,669,3,60,2.27,0,settled,0
CLM-0141,POL-0480,CUST-0077,AGT-0011,health,2026-01-28,162742.03,474,0,58,4.55,0,pending,0
CLM-0142,POL-0211,CUST-0070,AGT-0006,health,2026-01-20,166891.8,95,1,51,3.56,0,settled,0
CLM-0143,POL-0123,CUST-0237,AGT-0008,life,2025-10-27,217170.6,16,5,28,8.18,1,rejected,1
CLM-0144,POL-0082,CUST-0025,AGT-0001,motor_accident,2026-04-19,10682.66,314,1,27,0.17,0,settled,0
CLM-0145,POL-0462,CUST-0037,AGT-0001,motor_accident,2025-09-06,179870.78,717,0,50,7.52,0,settled,0
CLM-0146,POL-0129,CUST-0069,AGT-0011,life,2026-01-31,22598.51,644,0,45,0.4,0,rejected,0
CLM-0147,POL-0055,CUST-0012,AGT-0013,property_damage,2025-06-07,194135.08,480,3,41,5.9,1,rejected,0
CLM-0148,POL-0217,CUST-0035,AGT-0012,property_damage,2026-05-21,53037.6,314,1,48,1.65,0,settled,0
CLM-0149,POL-0354,CUST-0019,AGT-0018,motor_accident,2025-08-31,135961.73,289,3,44,3.73,0,rejected,0
CLM-0150,POL-0005,CUST-0015,AGT-0003,health,2025-10-19,81630.24,291,2,30,1.57,0,settled,0
CLM-0151,POL-0141,CUST-0273,AGT-0009,motor_accident,2026-03-10,165523.57,533,3,51,3.29,0,settled,0
CLM-0152,POL-0181,CUST-0013,AGT-0008,health,2025-07-13,147200.16,590,2,54,4.59,0,settled,0
CLM-0153,POL-0206,CUST-0289,AGT-0007,health,2025-07-31,64581.77,619,0,32,1.5,0,settled,0
CLM-0154,POL-0245,CUST-0070,AGT-0017,property_damage,2026-02-27,31034.41,207,2,43,1.61,0,settled,0
CLM-0155,POL-0115,CUST-0182,AGT-0006,life,2026-02-19,158039.53,36,8,30,7.15,0,pending,1
CLM-0156,POL-0206,CUST-0289,AGT-0007,motor_accident,2026-05-24,122076.58,182,0,48,2.84,0,settled,0
CLM-0157,POL-0424,CUST-0121,AGT-0009,life,2026-03-26,28109.91,238,1,42,0.32,0,settled,0
CLM-0158,POL-0111,CUST-0282,AGT-0001,health,2026-05-17,60178.61,723,1,51,2.01,0,settled,0
CLM-0159,POL-0317,CUST-0152,AGT-0007,property_damage,2025-06-11,53422.0,626,3,30,3.08,0,settled,0
CLM-0160,POL-0363,CUST-0265,AGT-0013,health,2025-10-02,121453.21,104,0,60,5.54,0,rejected,0
CLM-0161,POL-0130,CUST-0073,AGT-0017,health,2026-01-18,79282.85,434,2,33,6.43,1,pending,0
CLM-0162,POL-0450,CUST-0128,AGT-0006,motor_accident,2026-03-27,22481.36,573,3,34,0.45,0,settled,0
CLM-0163,POL-0475,CUST-0048,AGT-0019,health,2025-12-21,181044.57,299,2,58,6.01,0,settled,0
CLM-0164,POL-0285,CUST-0152,AGT-0009,health,2026-05-13,133196.8,480,0,37,4.18,0,settled,0
CLM-0165,POL-0224,CUST-0284,AGT-0018,life,2025-10-09,463311.33,32,3,28,10.52,1,pending,1
CLM-0166,POL-0179,CUST-0005,AGT-0012,health,2025-08-06,453860.59,12,4,32,9.83,1,settled,1
CLM-0167,POL-0393,CUST-0116,AGT-0020,motor_accident,2026-01-06,86201.7,108,1,56,2.29,0,settled,0
CLM-0168,POL-0192,CUST-0016,AGT-0013,life,2025-10-11,190487.87,361,1,26,10.81,0,settled,0
CLM-0169,POL-0337,CUST-0033,AGT-0019,health,2026-02-12,489419.68,42,7,28,17.61,1,rejected,1
CLM-0170,POL-0409,CUST-0096,AGT-0018,health,2025-11-08,174753.43,39,6,22,5.7,1,pending,1
CLM-0171,POL-0199,CUST-0032,AGT-0003,life,2025-12-24,60562.5,699,1,32,1.73,0,rejected,0
CLM-0172,POL-0341,CUST-0006,AGT-0018,life,2026-04-15,278609.89,13,6,28,8.11,1,rejected,1
CLM-0173,POL-0096,CUST-0168,AGT-0001,health,2025-09-20,88073.33,71,2,54,1.86,0,settled,0
CLM-0174,POL-0149,CUST-0176,AGT-0002,property_damage,2026-01-24,20440.71,519,2,34,0.39,0,settled,0
CLM-0175,POL-0025,CUST-0076,AGT-0008,life,2025-06-27,183873.89,555,0,57,9.93,0,settled,0
CLM-0176,POL-0131,CUST-0096,AGT-0016,life,2026-05-08,154886.12,46,0,54,2.35,0,pending,0
CLM-0177,POL-0301,CUST-0234,AGT-0011,motor_accident,2025-07-26,152684.08,490,2,46,3.73,0,settled,0
CLM-0178,POL-0274,CUST-0207,AGT-0001,life,2025-06-29,288226.85,1,4,31,4.52,1,settled,1
CLM-0179,POL-0317,CUST-0152,AGT-0007,motor_accident,2026-02-23,125265.24,719,3,44,7.23,0,pending,0
CLM-0180,POL-0440,CUST-0120,AGT-0003,health,2026-04-17,318391.02,10,8,24,5.18,1,pending,1
CLM-0181,POL-0243,CUST-0138,AGT-0014,life,2025-08-05,27709.47,186,3,56,0.57,0,settled,0
CLM-0182,POL-0425,CUST-0033,AGT-0016,life,2025-08-08,14929.83,38,0,65,0.66,0,settled,0
CLM-0183,POL-0019,CUST-0286,AGT-0012,life,2025-08-09,99789.69,635,3,39,2.67,0,settled,0
CLM-0184,POL-0458,CUST-0098,AGT-0017,life,2026-05-21,178382.42,149,3,64,4.16,0,pending,0
CLM-0185,POL-0177,CUST-0139,AGT-0003,property_damage,2025-06-01,103989.01,631,2,63,2.61,0,settled,0
CLM-0186,POL-0408,CUST-0195,AGT-0019,health,2026-03-04,194333.62,195,1,43,12.32,0,pending,0
CLM-0187,POL-0407,CUST-0266,AGT-0015,motor_accident,2025-11-29,198784.61,340,1,38,3.51,1,rejected,0
CLM-0188,POL-0090,CUST-0088,AGT-0003,health,2026-03-31,179419.21,62,0,46,7.33,0,settled,0
CLM-0189,POL-0175,CUST-0023,AGT-0001,motor_accident,2025-06-04,155027.91,600,2,34,5.19,1,pending,0
CLM-0190,POL-0493,CUST-0270,AGT-0002,health,2025-07-13,26631.51,138,0,60,0.92,0,pending,0
CLM-0191,POL-0081,CUST-0087,AGT-0005,property_damage,2026-03-22,143091.86,548,3,31,1.82,0,pending,0
CLM-0192,POL-0497,CUST-0235,AGT-0018,motor_accident,2026-01-15,154961.47,281,3,46,5.71,0,settled,0
CLM-0193,POL-0323,CUST-0136,AGT-0005,life,2025-11-03,34564.19,572,3,39,1.45,0,rejected,0
CLM-0194,POL-0484,CUST-0070,AGT-0016,motor_accident,2025-12-09,200954.51,1,8,33,4.22,1,pending,1
CLM-0195,POL-0032,CUST-0203,AGT-0012,property_damage,2025-10-29,12233.28,686,1,61,0.28,0,settled,0
CLM-0196,POL-0370,CUST-0146,AGT-0003,life,2025-10-15,182300.02,38,2,58,3.38,1,settled,0
CLM-0197,POL-0404,CUST-0162,AGT-0016,property_damage,2025-11-13,91218.04,383,3,37,2.32,0,settled,0
CLM-0198,POL-0277,CUST-0011,AGT-0002,health,2026-05-20,23099.82,595,2,58,0.71,0,pending,0
CLM-0199,POL-0133,CUST-0249,AGT-0005,property_damage,2026-03-29,155960.77,462,0,28,1.75,0,pending,0
CLM-0200,POL-0153,CUST-0220,AGT-0003,health,2025-12-03,6016.61,377,1,62,0.08,1,settled,0
CLM-0201,POL-0366,CUST-0118,AGT-0014,property_damage,2025-10-11,148814.9,137,2,58,3.71,1,pending,0
CLM-0202,POL-0042,CUST-0084,AGT-0015,life,2025-08-03,298710.36,9,6,24,3.53,1,rejected,1
CLM-0203,POL-0300,CUST-0019,AGT-0018,health,2025-09-25,87567.33,480,3,51,7.42,0,settled,0
CLM-0204,POL-0442,CUST-0029,AGT-0009,property_damage,2026-04-01,140421.79,496,3,27,3.85,0,settled,0
CLM-0205,POL-0062,CUST-0017,AGT-0014,property_damage,2025-12-27,61470.16,565,1,32,2.26,0,settled,0
CLM-0206,POL-0073,CUST-0287,AGT-0007,life,2026-05-30,87242.61,342,2,38,0.97,0,pending,0
CLM-0207,POL-0446,CUST-0282,AGT-0017,life,2025-07-25,318411.75,20,7,28,5.7,1,pending,1
CLM-0208,POL-0326,CUST-0267,AGT-0003,life,2025-11-14,92736.23,489,1,45,1.89,0,settled,0
CLM-0209,POL-0277,CUST-0011,AGT-0002,motor_accident,2025-08-12,384655.34,29,8,25,11.84,0,rejected,1
CLM-0210,POL-0331,CUST-0099,AGT-0011,health,2025-09-30,345773.49,13,7,29,7.41,1,rejected,1
CLM-0211,POL-0338,CUST-0055,AGT-0010,life,2026-04-18,40049.96,49,2,38,1.89,0,settled,0
CLM-0212,POL-0302,CUST-0287,AGT-0020,property_damage,2025-11-17,451691.02,2,5,27,6.46,0,pending,1
CLM-0213,POL-0278,CUST-0243,AGT-0005,health,2026-05-01,33086.68,291,0,34,1.5,0,settled,0
CLM-0214,POL-0014,CUST-0299,AGT-0012,property_damage,2025-11-20,63114.75,131,2,34,1.44,0,rejected,0
CLM-0215,POL-0104,CUST-0155,AGT-0009,motor_accident,2026-01-14,121415.9,272,3,57,6.57,1,pending,0
CLM-0216,POL-0209,CUST-0031,AGT-0001,motor_accident,2026-01-25,160117.25,41,4,35,3.49,0,rejected,1
CLM-0217,POL-0291,CUST-0093,AGT-0020,health,2026-01-26,21362.13,681,1,34,0.25,0,settled,0
CLM-0218,POL-0232,CUST-0215,AGT-0018,life,2026-01-12,434425.3,40,5,31,8.35,0,rejected,1
CLM-0219,POL-0432,CUST-0177,AGT-0010,motor_accident,2025-12-29,119106.04,552,2,27,2.43,0,pending,0
CLM-0220,POL-0372,CUST-0086,AGT-0011,property_damage,2025-06-16,59494.37,472,1,64,1.45,1,rejected,0
CLM-0221,POL-0140,CUST-0085,AGT-0020,health,2025-07-05,196689.28,379,1,54,3.71,1,rejected,0
CLM-0222,POL-0462,CUST-0037,AGT-0001,motor_accident,2025-07-03,210737.61,36,8,32,8.81,1,rejected,1
CLM-0223,POL-0457,CUST-0187,AGT-0020,property_damage,2025-11-14,135964.55,718,0,47,1.73,0,pending,0
CLM-0224,POL-0237,CUST-0268,AGT-0014,property_damage,2026-02-22,42633.22,39,1,26,0.57,0,pending,0
CLM-0225,POL-0120,CUST-0179,AGT-0016,health,2025-07-09,193622.82,67,2,56,2.93,1,settled,0
CLM-0226,POL-0257,CUST-0030,AGT-0020,motor_accident,2026-03-27,112598.11,705,1,29,4.13,1,settled,0
CLM-0227,POL-0452,CUST-0163,AGT-0018,life,2026-05-30,157539.28,226,0,59,9.67,1,rejected,0
CLM-0228,POL-0222,CUST-0248,AGT-0001,motor_accident,2026-02-06,84340.8,154,3,56,4.11,0,pending,0
CLM-0229,POL-0230,CUST-0116,AGT-0009,health,2025-06-12,81412.48,372,0,61,1.48,0,settled,0
CLM-0230,POL-0101,CUST-0053,AGT-0001,motor_accident,2025-08-01,65607.14,671,0,26,2.67,0,settled,0
